epoch,step,train_loss,val_accuracy,val_loss
0,49,2.305259943008423,,
0,66,,0.10982048511505127,2.304304599761963
1,99,2.3009233474731445,,
1,133,,0.10982048511505127,2.304304599761963
2,149,2.302119016647339,,
2,199,2.2993128299713135,,
2,200,,0.10982048511505127,2.304304599761963
3,249,2.2947943210601807,,
3,267,,0.10982048511505127,2.304304599761963
4,299,2.302889347076416,,
4,334,,0.10982048511505127,2.304304599761963
5,349,2.300363063812256,,
5,399,2.3034849166870117,,
5,401,,0.10982048511505127,2.304304599761963
